7_1_posi,7_6_posi,13.213280150852407
7_1_posi,3_2_nega,12.574204414670511
7_1_posi,2_2_posi,11.502616966020945
7_1_posi,2_0_nega,13.004369659738172
7_1_posi,2_1_nega,11.867980008320275
7_1_posi,3_2_posi,12.703621122404286
7_1_posi,1_2_nega,10.498896246528524
7_1_posi,3_1_posi,14.381341696067096
7_1_posi,1_1_nega,12.31701426281835
7_1_posi,3_1_nega,11.513779327946972
7_1_posi,2_1_posi,13.472857390550988
7_1_posi,7_6_nega,11.212056214559441
7_1_posi,2_2_nega,12.432292066474535
1_6_nega,7_4_nega,10.949173823274913
1_6_nega,3_0_posi,12.208583878651346
1_6_nega,3_0_nega,14.366084114352303
1_6_nega,4_2_nega,10.128568520465215
1_6_nega,3_3_nega,10.097047823626204
1_6_nega,1_1_posi,10.585449882508478
1_6_nega,2_0_posi,10.934918138419459
1_6_nega,4_1_nega,11.416571346559664
1_6_nega,7_7_nega,11.066200316360522
1_6_nega,6_2_nega,10.327666387951737
1_6_nega,2_3_nega,11.24554328808562
1_6_nega,3_6_posi,12.1090299846041
1_6_nega,7_6_posi,12.492965270433789
1_6_nega,3_2_nega,12.022558208774218
1_6_nega,2_2_posi,11.895727912124817
1_6_nega,2_0_nega,15.042616702705516
1_6_nega,2_1_nega,13.379677069024822
1_6_nega,3_2_posi,13.529591316759962
1_6_nega,1_2_nega,11.29030461078274
1_6_nega,3_1_posi,15.839062561923047
1_6_nega,1_1_nega,11.06373334639581
1_6_nega,3_1_nega,12.57342881058319
1_6_nega,2_1_posi,14.663157010980491
1_6_nega,7_6_nega,15.773879139199597
1_6_nega,2_2_nega,12.939214607900263
7_5_posi,5_2_nega,10.302547817028099
7_5_posi,5_1_nega,10.090359758770006
7_5_posi,6_5_nega,11.001120297947452
7_5_posi,3_4_nega,10.140136885816972
7_5_posi,7_1_nega,10.426905077905056
7_5_posi,2_3_posi,10.708889030217568
7_5_posi,1_0_nega,14.57272022033985
7_5_posi,4_2_posi,12.432217716244583
7_5_posi,7_4_nega,12.039952941395889
7_5_posi,7_7_posi,11.351705296717583
7_5_posi,4_1_posi,14.694736706390282
7_5_posi,3_0_posi,13.38750569122457
7_5_posi,4_0_nega,10.353185637916818
7_5_posi,1_2_posi,12.901966095715753
7_5_posi,3_3_posi,12.491031432813216
7_5_posi,3_6_nega,10.491964938507722
7_5_posi,3_0_nega,12.086288106076086
7_5_posi,4_2_nega,12.778814222234455
7_5_posi,3_3_nega,14.179050233267311
7_5_posi,1_1_posi,15.742322338671272
7_5_posi,2_0_posi,14.681183842938328
7_5_posi,4_1_nega,13.177118728179725
7_5_posi,4_3_nega,12.322215212206899
7_5_posi,7_7_nega,11.979851770620307
7_5_posi,6_2_nega,12.095776008575616
7_5_posi,2_3_nega,12.871189728639775
7_5_posi,3_6_posi,14.600262178835568
7_5_posi,7_6_posi,17.63934404621376
7_5_posi,3_2_nega,14.172464276956482
7_5_posi,2_2_posi,17.01210652373122
7_5_posi,2_0_nega,16.79732276248192
7_5_posi,2_1_nega,15.6392528506537
7_5_posi,3_2_posi,22.927864295709686
7_5_posi,1_2_nega,15.207672794886504
7_5_posi,3_1_posi,19.54121672705687
7_5_posi,1_1_nega,13.632609336720561
7_5_posi,3_1_nega,13.238622915623559
7_5_posi,2_1_posi,18.7730381115045
7_5_posi,7_6_nega,13.256442642925624
7_5_posi,2_2_nega,15.760973361430851
0_2_nega,1_0_posi,10.451590460306079
0_2_nega,6_5_nega,10.760205808532156
0_2_nega,3_4_nega,11.411093916726797
0_2_nega,2_3_posi,10.800510282886982
